Comment,Designator,Footprint,LCSC
1K2,R5,R_0603_1608Metric,
1K2,R18,R_0603_1608Metric,
Conn_02x08_Odd_Even,J6,PinSocket_2x08_P2.54mm_Vertical,
LED,D13,LED_0805_2012Metric,
DIO0,D3,LED_0805_2012Metric,
SW_Push,SW7,SW_SPST_SKQG_WithStem,
1K2,R20,R_0603_1608Metric,
SW_Push,SW8,SW_SPST_SKQG_WithStem,
SW_Push,SW6,SW_SPST_SKQG_WithStem,
1K2,R26,R_0603_1608Metric,
DIO0,D2,LED_0805_2012Metric,
100k,R12,R_0603_1608Metric,
DIO0,D1,LED_0805_2012Metric,
1K2,R22,R_0603_1608Metric,
1K2,R21,R_0603_1608Metric,
LED,D9,LED_0805_2012Metric,
SW_Push,SW2,SW_SPST_SKQG_WithStem,
100k,R6,R_0603_1608Metric,
1K2,R17,R_0603_1608Metric,
100k,R23,R_0603_1608Metric,
100k,R24,R_0603_1608Metric,
LED,D10,LED_0805_2012Metric,
100k,R15,R_0603_1608Metric,
LED,D11,LED_0805_2012Metric,
1K2,R2,R_0603_1608Metric,
SW_Push,SW5,SW_SPST_SKQG_WithStem,
LED,D12,LED_0805_2012Metric,
SW_Push,SW1,SW_SPST_SKQG_WithStem,
DIO0,D6,LED_0805_2012Metric,
SW_Push,SW3,SW_SPST_SKQG_WithStem,
Conn_02x10_Odd_Even,J2,PinSocket_2x10_P2.54mm_Vertical,
1K2,R29,R_0603_1608Metric,
DIO0,D7,LED_0805_2012Metric,
1K2,R11,R_0603_1608Metric,
DIO0,D5,LED_0805_2012Metric,
SW_Push,SW4,SW_SPST_SKQG_WithStem,
1K2,R14,R_0603_1608Metric,
1K2,R19,R_0603_1608Metric,
100k,R27,R_0603_1608Metric,
100k,R9,R_0603_1608Metric,
1K2,R8,R_0603_1608Metric,
100k,R3,R_0603_1608Metric,
DIO0,D8,LED_0805_2012Metric,
DIO0,D4,LED_0805_2012Metric,
100K,R25,R_0603_1608Metric,
100K,R7,R_0603_1608Metric,
0,R30,R_0603_1608Metric,
NPN,Q5,TSOT-23,
100K,R1,R_0603_1608Metric,
100K,R13,R_0603_1608Metric,
Barrel_Jack_Switch,J1,BarrelJack_10A,
100n,C1,C_0402_1005Metric,
100K,R16,R_0603_1608Metric,
0,R33,R_0603_1608Metric,
TBA2-1222,U1,Converter_DCDC_TRACO_TBA2-xxxx_Dual_THT,
Conn_02x10_Odd_Even,J8,IDC-Header_2x10_P2.54mm_Vertical_SMD,
47u,C2,CP_Elec_5x5.4,
100n,C4,C_0402_1005Metric,
NPN,Q3,TSOT-23,
100n,C3,C_0402_1005Metric,
100k,R34,R_0402_1005Metric,
15V,D14,D_0402_1005Metric,
Conn_02x03_Odd_Even,J9,IDC-Header_2x03_P2.54mm_Vertical_SMD,
NPN,Q8,TSOT-23,
0,R32,R_0603_1608Metric,
NPN,Q4,TSOT-23,
100K,R28,R_0603_1608Metric,
RY8310,IC1,SOT-23-6,
100K,R4,R_0603_1608Metric,
100K,R10,R_0603_1608Metric,
4.7u,L1,L_0630,
AO3401A,Q9,SOT-23,
NPN,Q6,TSOT-23,
0,R31,R_0603_1608Metric,
Conn_02x08_Odd_Even,J3,IDC-Header_2x08_P2.54mm_Vertical_SMD,
NPN,Q1,TSOT-23,
NPN,Q2,TSOT-23,
NPN,Q7,TSOT-23,
10k,R36,R_0402_1005Metric,
52k50,R35,R_0402_1005Metric,
22u,C5,CP_Elec_5x5.4,
